ID;Nome do Produto;Descrição;Preço (R$);Custo (R$);Margem (%);Categoria;Estoque;Estoque Mínimo;Unidade;Status
1003;"51 ice 0% ALCOOL  ";"Produto de qualidade";12,00;7,20;66,7;"Ices";0;0;un;Ativo
853;"51 Ice Kiwi";"Produto de qualidade";12,00;7,20;66,7;"Ices";0;0;un;Ativo
852;"51 Ice Limão";"Produto de qualidade";12,00;7,20;66,7;"Ices";0;0;un;Ativo
854;"51 Ice Maracujá";"Produto de qualidade";12,00;7,20;66,7;"Ices";0;0;un;Ativo
855;"51 Ice Morango";"Produto de qualidade";12,00;7,20;66,7;"Ices";0;0;un;Ativo
866;"Água 1,5L";"Produto de qualidade";6,50;4,55;42,9;"Água";0;0;un;Ativo
865;"Água 500ml";"Produto de qualidade";3,50;2,45;42,9;"Água";0;0;un;Ativo
867;"Água com Gás";"Produto de qualidade";4,50;3,15;42,9;"Água";0;0;un;Ativo
943;"Água de Coco 1L";"Produto de qualidade";14,50;8,70;66,7;"Sucos";0;0;un;Ativo
708;"Amstel 269ml";"Produto de qualidade";5,00;2,40;108,3;"Cervejas";0;0;un;Ativo
767;"Baly 2 Litros";"Produto de qualidade";16,00;9,60;66,7;"Energéticos";0;0;un;Ativo
769;"Big Boss 2 Litros";"Produto de qualidade";10,00;7,00;42,9;"Energéticos";0;0;un;Ativo
945;"Bis Branco";"Produto de qualidade";10,00;7,00;42,9;"Doces";0;0;un;Ativo
946;"Bis Preto";"Produto de qualidade";10,00;7,00;42,9;"Doces";0;0;un;Ativo
998;"Cachaça 51 1L";"Produto de qualidade";24,50;14,70;66,7;"Cachaças";0;0;un;Ativo
1025;"Caip ice Limão ";"Produto de qualidade";35,00;19,25;81,8;"Caipi Ice";0;0;un;Ativo
994;"Camisinha";"Produto de qualidade";12,00;7,20;66,7;"Diversos";0;0;un;Ativo
722;"Cantinho do Vale 2L";"Produto de qualidade";12,00;7,20;66,7;"Vinhos";0;0;un;Ativo
721;"Cantinho do Vale 880ml";"Produto de qualidade";7,00;4,90;42,9;"Vinhos";0;0;un;Ativo
996;"Canudo Rosa ou Preto";"Produto de qualidade";2,50;1,75;42,9;"Diversos";0;0;un;Ativo
997;"Carvão de Churrasco 2kg";"Produto de qualidade";14,50;8,70;66,7;"Diversos";0;0;un;Ativo
1015;"Chevette - Corote limão, gelo de coco e suco baunilha";"Produto de qualidade";10,00;7,00;42,9;"Corotes Drinks";0;0;un;Ativo
727;"Chopp de Vinho Draft 600ml";"Produto de qualidade";17,00;10,20;66,7;"Vinhos";0;0;un;Ativo
731;"Coca-Cola 1L";"Produto de qualidade";10,00;7,00;42,9;"Refrigerantes";0;0;un;Ativo
736;"Coca-Cola 200ml";"Produto de qualidade";3,50;2,45;42,9;"Refrigerantes";0;0;un;Ativo
729;"Coca-Cola 2L";"Produto de qualidade";14,50;8,70;66,7;"Refrigerantes";0;0;un;Ativo
741;"Coca-Cola 600ml";"Produto de qualidade";8,00;5,60;42,9;"Refrigerantes";0;0;un;Ativo
739;"Coca-Cola Lata 350ml";"Produto de qualidade";6,00;4,20;42,9;"Refrigerantes";0;0;un;Ativo
732;"Coca-Cola Zero 1L";"Produto de qualidade";10,00;7,00;42,9;"Refrigerantes";0;0;un;Pausado
740;"Coca-Cola Zero 200ml";"Produto de qualidade";3,50;2,45;42,9;"Refrigerantes";0;0;un;Ativo
730;"Coca-Cola Zero 2L";"Produto de qualidade";14,50;8,70;66,7;"Refrigerantes";0;0;un;Ativo
742;"Coca-Cola Zero 600ml";"Produto de qualidade";8,00;5,60;42,9;"Refrigerantes";0;0;un;Pausado
995;"Copo 700ml";"Produto de qualidade";2,50;1,75;42,9;"Diversos";0;0;un;Ativo
1013;"CupNoodles Carne";"Produto de qualidade";13,50;8,10;66,7;"Diversos";0;0;un;Ativo
1014;"CupNoodles Galinha";"Produto de qualidade";13,50;8,10;66,7;"Diversos";0;0;un;Ativo
720;"Dani 700ml";"Produto de qualidade";27,00;16,20;66,7;"Vinhos";0;0;un;Ativo
723;"Dom Nogueira 900ml";"Produto de qualidade";22,00;13,20;66,7;"Vinhos";0;0;un;Ativo
970;"Eight";"Produto de qualidade";6,50;4,55;42,9;"Tabacaria e Cigarros";0;0;un;Ativo
733;"Fanta Laranja 2L";"Produto de qualidade";14,50;8,70;66,7;"Refrigerantes";0;0;un;Ativo
1011;"Fofura Cebola";"Produto de qualidade";6,00;4,20;42,9;"Salgadinhos";0;0;un;Ativo
